Type,Task ID,Name,Status,Ready,Start Date,End Date,Assignee,Category,Dependencies,Required For,Material Deps,Notes,Comments
TASK,crest-installation,Crest Installation,scheduled,✅ Yes,2026-01-27,2026-01-27,Crest Mechanical,mechanical,"finish-trim, kitchen-baseboard, finish-electrical, propane, install-stainless-wall, upper-cabinet-install, crest-prep","finish-plumbing, finish-electrical-8, kitchen-put-back, kitchen-put-back-1, project-finish",,Need to confirm exact delivery time and duration for install.,
  ↳ subtask,crest-installation-1,    Verify Install Time,needs-scheduled,✅ Yes,2026-01-27,2026-01-27,Brandon,mechanical,,,,,
TASK,finish-plumbing,Finish Plumbing,needs-scheduled,⚠️ Missing: dates,,,Chris Bland,plumbing,crest-installation,"kitchen-put-back, kitchen-put-back-1",,,
  ↳ subtask,finish-plumbing-1,    Schedule Finish Plumbing,needs-scheduled,⚠️ Missing: dates,,,Brandon,plumbing,,,,,
  ↳ subtask,finish-plumbing-2,    Finish Plumbing,needs-scheduled,⚠️ Missing: dates,,,Chris Bland,plumbing,,,,,
  ↳ subtask,finish-plumbing-3,    Install Existing Handsink in Laundry Room,needs-scheduled,⚠️ Missing: dates,,,Chris Bland,plumbing,,,,Not part of Crest order.,
TASK,kitchen-baseboard,Kitchen Baseboard,scheduled,✅ Yes,2026-01-26,2026-01-26,Jerum,trim,"finish-trim, painting","crest-prep, crest-installation",,Must be complete before Crest install on 1/27.,
  ↳ subtask,kitchen-baseboard-1,    Schedule Baseboard Install,needs-scheduled,✅ Yes,2026-01-26,2026-01-26,Brandon,trim,,,,,
  ↳ subtask,kitchen-baseboard-2,    Baseboard Install,needs-scheduled,✅ Yes,2026-01-26,2026-01-26,Jerum,trim,,,,,
TASK,finish-electrical,Finish Electrical,scheduled,✅ Yes,2026-01-26,2026-01-26,Craig Davenport,electrical,,crest-installation,"coach-lamp, receptacle-light-switch-covers",,
  ↳ subtask,finish-electrical-1,    Move Receptacle Over Mop Sink,needs-scheduled,✅ Yes,2026-01-26,2026-01-26,Dion Cahoon,electrical,,,,Move to left of hand sink.,
  ↳ subtask,finish-electrical-2,    Install Coach Lamp,needs-scheduled,✅ Yes,2026-01-26,2026-01-26,Dion Cahoon,electrical,,,coach-lamp,,
  ↳ subtask,finish-electrical-3,    Install Receptacle for Light Strings,needs-scheduled,✅ Yes,2026-01-26,2026-01-26,Dion Cahoon,electrical,,,,For light strings that criss-cross to firepit.,
  ↳ subtask,finish-electrical-4,    Add Receptacle for TV Over Passthrough,needs-scheduled,✅ Yes,2026-01-26,2026-01-26,Dion Cahoon,electrical,,,,,
  ↳ subtask,finish-electrical-5,    Finish Lighting Install,needs-scheduled,✅ Yes,2026-01-26,2026-01-26,Dion Cahoon,electrical,,,,,
  ↳ subtask,finish-electrical-6,    Schedule Electrical Sign-off,needs-scheduled,✅ Yes,2026-01-26,2026-01-26,Brandon,electrical,,,,,
  ↳ subtask,finish-electrical-7,    Electrical Sign-off,needs-scheduled,✅ Yes,2026-01-26,2026-01-26,Craig Davenport,electrical,,,,,
  ↳ subtask,finish-electrical-8,    Connect Passthrough Heat Lamp,needs-scheduled,✅ Yes,2026-01-26,2026-01-26,Dion Cahoon,electrical,crest-installation,,,Must be done after Crest installation. Heat lamp is part of passthrough equipment.,
TASK,propane,Propane,scheduled,⚠️ Missing: assignee,2026-01-23,2026-01-23,Needs Assignment,plumbing,,"crest-installation, install-stainless-wall, siding",,Dave coordinating and responsible. Dependency for siding install.,
  ↳ subtask,propane-1,    Install Propane Line for Gas Range,needs-scheduled,✅ Yes,2026-01-23,2026-01-23,Dion Cahoon,plumbing,,,,1. Installed in secure box in wall to right of existing stainless steel wall covering. 2. Must be installed before remaining stainless is installed on Friday 1/23.,
  ↳ subtask,propane-2,    Propane Line Remediation,scheduled,✅ Yes,2026-01-23,2026-01-23,Beach Gas Appliance and Propane,plumbing,,,,Dave coordinating and responsible. Dependency for siding install.,
TASK,install-stainless-wall,Install Stainless Wall Covering (Right of Range),scheduled,✅ Yes,2026-01-23,2026-01-23,JD Fletcher,trim,propane,crest-installation,,Cannot be before Dion finishes range propane install.,
TASK,painting,Painting,scheduled,✅ Yes,2026-01-23,2026-01-23,Eliseo,paint,finish-drywall,"finish-trim, kitchen-baseboard",,,
  ↳ subtask,painting-1,    Paint Kitchen,scheduled,✅ Yes,2026-01-23,2026-01-23,Eliseo,paint,finish-drywall-1,finish-trim-3,,Requires finish-drywall-1 complete first.,
  ↳ subtask,painting-2,    Paint Scupernong,scheduled,✅ Yes,2026-01-23,2026-01-23,Eliseo,paint,"finish-drywall-2, finish-drywall-4",finish-trim-6,,Requires finish-drywall-2 complete first.,
  ↳ subtask,painting-3,    Paint Lobby Passthrough Wall,needs-scheduled,✅ Yes,2026-01-23,2026-01-23,Eliseo,paint,,,,,
  ↳ subtask,painting-4,"    Paint Doors (Kitchen Main, Back, HVAC)",needs-scheduled,✅ Yes,2026-01-23,2026-01-23,Eliseo,paint,install-doors,,,Paint after door installation (1/24). 3 doors total.,
  ↳ subtask,painting-5,    Touch Up Ceiling Damage (as needed),needs-scheduled,✅ Yes,2026-01-23,2026-01-23,Eliseo,paint,,,,,
TASK,finish-drywall,Finish Drywall,scheduled,✅ Yes,2026-01-23,2026-01-23,Eliseo,trim,framing,painting,,,
  ↳ subtask,finish-drywall-1,    Finish Drywall Kitchen,needs-scheduled,✅ Yes,2026-01-23,2026-01-23,Eliseo,trim,framing,painting-1,,,
  ↳ subtask,finish-drywall-2,    Finish Drywall Scupernong,scheduled,✅ Yes,2026-01-23,2026-01-23,Eliseo,trim,,"finish-trim-6, painting-2",,,
  ↳ subtask,finish-drywall-3,    Finish drywall around back door,scheduled,✅ Yes,2026-01-23,2026-01-23,Eliseo,trim,install-doors-2,,,,
  ↳ subtask,finish-drywall-4,    Drywall patch two light holes in Scupernong,scheduled,✅ Yes,2026-01-23,2026-01-23,Eliseo,trim,,painting-2,,,
TASK,kitchen-put-back,Kitchen Put-Back,needs-scheduled,"⚠️ Missing: dates, assignee",,,Needs Assignment,,"crest-installation, finish-plumbing",project-finish,,,
  ↳ subtask,kitchen-put-back-1,    Install Dishwasher,needs-scheduled,⚠️ Missing: dates,,,Dion Cahoon,,"crest-installation, finish-plumbing",,,,
  ↳ subtask,kitchen-put-back-2,    Install Ovens,needs-scheduled,"⚠️ Missing: dates, assignee",,,Needs Assignment,,,,,,
  ↳ subtask,kitchen-put-back-3,"    Move Range, Freezers and Refrigerators",needs-scheduled,"⚠️ Missing: dates, assignee",,,Needs Assignment,,,,,,
TASK,install-dryer-vents,Install Dryer Vents,needs-scheduled,"⚠️ Missing: dates, assignee",,,Needs Assignment,mechanical,,,,Cut holes from laundry room to outside for dryer vents.,
TASK,siding,Siding,needs-scheduled,⚠️ Missing: dates,,,Sergio,framing,propane,,,,
  ↳ subtask,siding-1,    Schedule Siding,needs-scheduled,⚠️ Missing: dates,,,Brandon,framing,,,,,
  ↳ subtask,siding-2,    Siding,needs-scheduled,⚠️ Missing: dates,,,Sergio,framing,,,,,
TASK,inspection,Inspection,needs-scheduled,⚠️ Missing: dates,,,Brandon,,,"close-permit, project-finish",,,
  ↳ subtask,inspection-1,    Schedule Town of Manteo,needs-scheduled,⚠️ Missing: dates,,,Brandon,,,,,,
  ↳ subtask,inspection-2,    Schedule Dare County Health,needs-scheduled,⚠️ Missing: dates,,,Brandon,,,,,,
  ↳ subtask,inspection-3,    Town of Manteo,needs-scheduled,⚠️ Missing: dates,,,Brandon,,,,,,
  ↳ subtask,inspection-4,    Dare County Health,needs-scheduled,⚠️ Missing: dates,,,Brandon,,,,,,
TASK,misc-equipment-install,Misc Equipment Install,needs-scheduled,"⚠️ Missing: dates, assignee",,,Needs Assignment,,,,"pot-rack, retractable-extension-cord",,
  ↳ subtask,misc-equipment-install-1,    Install Pot Rack,needs-scheduled,"⚠️ Missing: dates, assignee",,,Needs Assignment,,,,pot-rack,,
  ↳ subtask,misc-equipment-install-2,    Install Retractable Extension Cord,needs-scheduled,"⚠️ Missing: dates, assignee",,,Needs Assignment,,,,retractable-extension-cord,,
TASK,upper-cabinet-install,Upper Cabinet Install,scheduled,⚠️ Missing: assignee,2026-01-26,2026-01-26,Needs Assignment,fixtures,finish-trim,"crest-prep, crest-installation","upper-cabinets, upper-cabinet-handles",Requires cabinet crown installation.,
  ↳ subtask,upper-cabinet-install-1,    Upper Cabinet Delivery,confirmed,✅ Yes,2026-01-22,2026-01-22,Needs Assignment,fixtures,,,,,
  ↳ subtask,upper-cabinet-install-2,    Schedule Installation,needs-scheduled,✅ Yes,2026-01-26,2026-01-26,Brandon,fixtures,,,,,
  ↳ subtask,upper-cabinet-install-3,    Install Upper Cabinets,needs-scheduled,⚠️ Missing: assignee,2026-01-26,2026-01-26,Needs Assignment,fixtures,,,"upper-cabinets, upper-cabinet-handles",,
TASK,close-permit,Close Building Permit,needs-scheduled,⚠️ Missing: dates,,,Brandon,,inspection,project-finish,,,
TASK,project-finish,Project Finish,needs-scheduled,"⚠️ Missing: dates, assignee",,,Needs Assignment,,"inspection, crest-installation, kitchen-put-back, close-permit",,,"Final punch acceptance criteria: All work complete per contract scope, all inspections passed, all equipment operational, no safety hazards, cosmetic defects documented and remediated.",
  ↳ subtask,project-finish-1,    Schedule Final Punch Walkthrough,needs-scheduled,⚠️ Missing: dates,,,Brandon,,,,,Coordinate with owner for walkthrough date/time.,
  ↳ subtask,project-finish-2,    Final Punch Walkthrough,needs-scheduled,⚠️ Missing: dates,,,Dave,,,,,Owner walks job with GC to identify any remaining items. Document all punch items.,
  ↳ subtask,project-finish-3,    Punch List Remediation,needs-scheduled,⚠️ Missing: dates,,,Brandon,,,project-finish-4,,GC addresses all documented punch items.,
  ↳ subtask,project-finish-4,    Final Clean,needs-scheduled,⚠️ Missing: dates,,,Brandon,,project-finish-3,,,,
  ↳ subtask,project-finish-5,    Final Acceptance,needs-scheduled,⚠️ Missing: dates,,,Dave,,,,,Owner confirms all punch items resolved. Project complete.,
TASK,install-hvac-registers,Install HVAC Registers,needs-scheduled,"⚠️ Missing: dates, assignee",,,Needs Assignment,finish,,,,Need to check with Chad if he's providing and installing these,
TASK,framing,Framing,scheduled,✅ Yes,2026-01-22,2026-01-22,Dion Cahoon,framing,,"finish-drywall, finish-drywall-1",,"Hallway opening height: 89 1/2"" for both openings (kitchen-to-pantry and pantry-to-back-door)",
  ↳ subtask,framing-1,    Adjust kitchen to pantry hallway opening,scheduled,✅ Yes,2026-01-22,2026-01-22,Dion Cahoon,framing,,,,,
  ↳ subtask,framing-2,    Adjust pantry to back door hallway opening,scheduled,✅ Yes,2026-01-22,2026-01-22,Dion Cahoon,framing,,,,,
TASK,hvac-finish,Schedule HVAC Finish,needs-scheduled,⚠️ Missing: dates,,,Joclar & Fields,mechanical,,,"hvac-registers, hvac-cold-air-return",,
